
2,-40432.3125,-145292.921875,8580.884766,0
0,-40432.3125,-145292.921875,8580.884766,1
0,-40815.056181,-150863.02469,9378.044951,0
0,-40716.00839,-151625.632053,9427.924322,0
0,-38893.522029,-154803.23318,10301.901844,0
0,-40168.740103,-151083.470145,9399.567369,0
3,-39851.40625,-152568.171875,9387.496094,0
4,-8112.908009,-174823.027753,5845.427233,0
0,-9255.642424,-175043.270554,5565.278702,0
3,-8053.344238,-174838.828125,5538.726562,0
4,-39835.559645,-152510.108485,9698.958057,0
0,-42490.069948,-149680.148207,11414.438049,0
0,-55089.31897,-145953.660882,12054.43549,0
0,-64596.895947,-135883.748554,5734.389008,0
0,-66819.137969,-124185.682654,3679.954104,0
0,-65873.761509,-118297.266571,3539.521632,0
0,-62621.41341,-112298.813468,3209.357689,0
0,-64027.665593,-111430.597464,9076.309571,0
0,-64027.665593,-111430.597464,21076.586286,0
0,-52433.561089,-114712.270439,18236.531175,0
0,-44604.561185,-125868.136274,10836.509174,0
0,-39430.836736,-134252.401615,8127.420725,0
0,-39615.515038,-138744.000576,8121.515894,0
1,-39615.515038,-138744.000576,8121.515894,0
2,-37193.356445,-143407.732483,8275.792877,0
0,-37108.038834,-144970.805783,8046.019205,0
0,-38724.223137,-145178.768249,8013.521207,0
0,-40400.281549,-145224.75054,8017.245846,0
2,-40432.3125,-145292.921875,8580.884766,0
0,-40432.3125,-145292.921875,8580.884766,8
0,-39525.98065,-145374.573038,8580.884766,0
0,-32547.27833,-145675.458231,8580.884766,0
0,-32430.764023,-145669.49043,8580.884766,0
0,-34851.927738,-145711.772987,8580.884766,0
0,-34851.927738,-145711.772987,8580.884766,1
0,-36589.949485,-146392.760134,8580.884766,0
0,-38298.644824,-144836.866059,8563.986521,0
1,-38298.644824,-144836.866059,8563.986521,0
2,-37007.356689,-143614.732529,8284.792877,0
0,-38066.730216,-144855.739752,8563.986519,0
0,-38914.565226,-145076.208212,8031.707349,0
0,-39468.455361,-144703.583884,8067.528501,0
0,-40095.308219,-145295.27546,9323.716298,0
0,-38951.389487,-143286.254994,9323.716298,0
0,-38729.826475,-135054.81514,15163.730622,0
0,-40155.93576,-121667.531458,16043.732849,0
0,-39768.3932,-132762.789898,9624.274054,0
0,-39427.106172,-138754.098475,8088.545957,0
0,-39620.415071,-139937.81728,8043.066342,0
0,-39573.258539,-142780.687988,8070.516891,0
0,-41045.177371,-143964.835459,8054.515114,0
2,-40432.3125,-145292.921875,8580.884766,0
0,-40432.3125,-145292.921875,8580.884766,1
0,-39272.452507,-146094.987857,9467.553486,0
0,-37799.40279,-145229.425334,9467.553486,0
